contact_id,payments_count,total_gross,primary_city,used_boarding,used_nanny,used_walking,missed
41467,7,577800,Алматы,f,f,t,"передержка,няня"
45297,6,436500,Алматы,f,f,t,"передержка,няня"
37495,2,439228,Астана,f,t,f,"передержка,выгул"
45995,3,336000,Астана,t,f,f,"няня,выгул"
17159,2,335400,Алматы,t,f,f,"няня,выгул"
38129,2,327500,Алматы,t,f,f,"няня,выгул"
41709,4,322900,Астана,t,f,f,"няня,выгул"
35365,4,315362,Алматы,f,f,t,"передержка,няня"
23865,2,300000,Астана,t,f,f,"няня,выгул"
39007,4,269200,Алматы,f,t,f,"передержка,выгул"
44375,4,259600,Алматы,f,t,f,"передержка,выгул"
35439,5,258800,Алматы,t,f,f,"няня,выгул"
37249,3,252200,Алматы,t,f,f,"няня,выгул"
22213,6,241100,Алматы,t,f,f,"няня,выгул"
38611,4,235900,Алматы,f,t,f,"передержка,выгул"
38659,2,228600,Астана,t,f,f,"няня,выгул"
23131,2,222848,Астана,t,f,f,"няня,выгул"
17559,5,221000,Астана,t,f,f,"няня,выгул"
47045,2,204200,Алматы,f,t,f,"передержка,выгул"
48941,2,202300,Алматы,f,t,f,"передержка,выгул"
44169,2,197600,Алматы,t,f,f,"няня,выгул"
17297,5,188600,Алматы,f,t,f,"передержка,выгул"
49313,3,187690,Алматы,f,f,t,"передержка,няня"
12155,2,185600,Астана,t,f,f,"няня,выгул"
42883,2,176700,Астана,t,f,f,"няня,выгул"
12445,4,173600,Алматы,f,t,f,"передержка,выгул"
38727,2,172000,Алматы,f,f,t,"передержка,няня"
41903,3,167400,Астана,t,f,f,"няня,выгул"
46819,2,154000,Астана,t,f,f,"няня,выгул"
48111,2,140000,Астана,f,t,f,"передержка,выгул"
37307,4,136300,Астана,f,t,f,"передержка,выгул"
48995,3,134600,Алматы,f,f,t,"передержка,няня"
48781,4,132300,Алматы,f,t,f,"передержка,выгул"
12315,2,126800,Алматы,t,f,f,"няня,выгул"
47233,3,126200,Алматы,f,t,f,"передержка,выгул"
36501,11,116500,Астана,f,t,f,"передержка,выгул"
45187,3,112200,Астана,t,f,f,"няня,выгул"
48329,2,99000,Алматы,f,t,f,"передержка,выгул"
