contact_id,rfm_segment,payments_count,total_gross,avg_ticket
40721,Cannot Lose Them,5,1102500,220500
41467,Cannot Lose Them,7,577800,82543
37213,Cannot Lose Them,9,502900,55878
42901,Cannot Lose Them,7,490100,70014
43011,Cannot Lose Them,3,472900,157633
45297,Cannot Lose Them,6,436500,72750
11345,Cannot Lose Them,8,397456,49682
42839,Cannot Lose Them,8,359950,44994
47977,Cannot Lose Them,3,340000,113333
45995,Cannot Lose Them,3,336000,112000
38129,Cannot Lose Them,2,327500,163750
45069,Cannot Lose Them,3,327200,109067
41709,Cannot Lose Them,4,322900,80725
35365,Cannot Lose Them,4,315362,78841
12321,Cannot Lose Them,4,309100,77275
23865,Cannot Lose Them,2,300000,150000
39225,Cannot Lose Them,3,271700,90567
42979,Cannot Lose Them,4,271050,67763
39007,Cannot Lose Them,4,269200,67300
44375,Cannot Lose Them,4,259600,64900
35439,Cannot Lose Them,5,258800,51760
11349,Cannot Lose Them,6,258400,43067
37249,Cannot Lose Them,3,252200,84067
42395,Cannot Lose Them,5,249900,49980
22213,Cannot Lose Them,6,241100,40183
38767,Cannot Lose Them,3,240000,80000
41549,Cannot Lose Them,3,239500,79833
38611,Cannot Lose Them,4,235900,58975
24247,Cannot Lose Them,3,235500,78500
38659,Cannot Lose Them,2,228600,114300
23131,Cannot Lose Them,2,222848,111424
17559,Cannot Lose Them,5,221000,44200
47045,Cannot Lose Them,2,204200,102100
48941,Cannot Lose Them,2,202300,101150
44169,Cannot Lose Them,2,197600,98800
42175,Cannot Lose Them,2,195000,97500
11793,Cannot Lose Them,2,195000,97500
17297,Cannot Lose Them,5,188600,37720
35729,Cannot Lose Them,6,188500,31417
49313,Cannot Lose Them,3,187690,62563
12155,Cannot Lose Them,2,185600,92800
38661,Cannot Lose Them,8,177900,22238
42883,Cannot Lose Them,2,176700,88350
12445,Cannot Lose Them,4,173600,43400
38727,Cannot Lose Them,2,172000,86000
40015,Cannot Lose Them,4,168401,42100
41903,Cannot Lose Them,3,167400,55800
41513,Cannot Lose Them,2,161500,80750
40587,Cannot Lose Them,3,157900,52633
46819,Cannot Lose Them,2,154000,77000
42557,Cannot Lose Them,3,150000,50000
35545,Cannot Lose Them,2,144736,72368
47991,Cannot Lose Them,3,141300,47100
48111,Cannot Lose Them,2,140000,70000
37307,Cannot Lose Them,4,136300,34075
38265,Cannot Lose Them,2,134600,67300
48995,Cannot Lose Them,3,134600,44867
37603,Cannot Lose Them,2,134500,67250
48781,Cannot Lose Them,4,132300,33075
49175,Cannot Lose Them,3,129350,43117
11957,Cannot Lose Them,2,126800,63400
39939,Cannot Lose Them,2,126300,63150
47233,Cannot Lose Them,3,126200,42067
44799,Cannot Lose Them,2,125900,62950
34433,Cannot Lose Them,2,123500,61750
43629,Cannot Lose Them,2,119800,59900
36599,Cannot Lose Them,2,117920,58960
36501,Cannot Lose Them,11,116500,10591
46775,Cannot Lose Them,2,114700,57350
42805,Cannot Lose Them,4,113800,28450
45187,Cannot Lose Them,3,112200,37400
46533,Cannot Lose Them,2,112100,56050
39881,Cannot Lose Them,3,111800,37267
11547,Cannot Lose Them,3,109300,36433
48329,Cannot Lose Them,2,99000,49500
40141,Cannot Lose Them,5,98200,19640
42579,Cannot Lose Them,6,94600,15767
41169,Cannot Lose Them,3,94000,31333
44379,Cannot Lose Them,2,91000,45500
34341,Cannot Lose Them,2,88600,44300
44051,Cannot Lose Them,2,87800,43900
44161,Cannot Lose Them,4,87000,21750
19905,Cannot Lose Them,4,85400,21350
11947,Cannot Lose Them,2,83500,41750
43197,Cannot Lose Them,2,82500,41250
40555,Cannot Lose Them,2,82400,41200
46691,Cannot Lose Them,2,81700,40850
46383,Cannot Lose Them,2,81100,40550
17915,Cannot Lose Them,3,80000,26667
11807,Cannot Lose Them,4,77000,19250
49137,Cannot Lose Them,2,75400,37700
21503,Cannot Lose Them,3,72800,24267
12589,Champions,2,330228,165114
40625,Champions,2,296400,148200
40471,Champions,2,220600,110300
39683,Champions,2,208000,104000
37485,Champions,2,195010,97505
38579,Champions,2,195000,97500
39279,Champions,2,189900,94950
35947,Champions,2,183500,91750
36087,Champions,2,167666,83833
37689,Champions,2,162000,81000
36019,Champions,6,146792,24465
35381,Champions,2,141875,70938
37681,Champions,2,132750,66375
37843,Champions,2,130000,65000
37709,Champions,2,129850,64925
38437,Champions,2,105400,52700
37069,Champions,2,103644,51822
35585,Champions,2,100599,50300
40685,Champions,2,100000,50000
41429,Champions,2,95400,47700
36883,Champions,2,92289,46145
40513,Champions,2,91000,45500
36971,Champions,2,81475,40738
36251,Champions,2,80378,40189
41693,Loyal Customers,2,847400,423700
40813,Loyal Customers,3,725600,241867
37495,Loyal Customers,2,439228,219614
40733,Loyal Customers,2,372100,186050
38009,Loyal Customers,4,342600,85650
17159,Loyal Customers,2,335400,167700
41345,Loyal Customers,4,321770,80443
39203,Loyal Customers,3,223600,74533
40337,Loyal Customers,2,220400,110200
36583,Loyal Customers,2,209900,104950
43703,Loyal Customers,2,199600,99800
12171,Loyal Customers,2,196420,98210
15509,Loyal Customers,2,187200,93600
34367,Loyal Customers,2,158763,79382
39021,Loyal Customers,3,154600,51533
21639,Loyal Customers,2,144600,72300
41545,Loyal Customers,2,133000,66500
42821,Loyal Customers,2,129900,64950
12315,Loyal Customers,2,126800,63400
38715,Loyal Customers,2,117000,58500
40375,Loyal Customers,2,114200,57100
39971,Loyal Customers,2,109000,54500
42775,Loyal Customers,2,108200,54100
42853,Loyal Customers,2,101200,50600
40007,Loyal Customers,3,97500,32500
11869,Loyal Customers,2,95000,47500
39641,Loyal Customers,2,89400,44700
39557,Loyal Customers,2,83900,41950
19931,Loyal Customers,2,83300,41650
42959,Loyal Customers,2,81700,40850
41097,Loyal Customers,3,77400,25800
42183,Loyal Customers,2,65000,32500
42011,Loyal Customers,3,64800,21600
12387,Loyal Customers,3,61350,20450
40981,Loyal Customers,2,59500,29750
37159,Loyal Customers,2,54050,27025
41547,Loyal Customers,1,53900,53900
44331,Loyal Customers,1,53700,53700
36445,Loyal Customers,1,53544,53544
38027,Loyal Customers,1,52000,52000
38607,Loyal Customers,2,52000,26000
38101,Loyal Customers,1,52000,52000
36755,Loyal Customers,1,50755,50755
17395,Loyal Customers,1,50432,50432
35495,Loyal Customers,1,49508,49508
42209,Loyal Customers,1,49200,49200
44635,Loyal Customers,1,49000,49000
36075,Loyal Customers,1,48840,48840
35795,Loyal Customers,1,48504,48504
42377,Loyal Customers,1,47900,47900
40413,Loyal Customers,1,47800,47800
39437,Loyal Customers,1,47500,47500
37487,Loyal Customers,2,47500,23750
42895,Loyal Customers,1,47100,47100
36329,Loyal Customers,1,47069,47069
39473,Loyal Customers,1,46900,46900
18265,Loyal Customers,1,46100,46100
39055,Loyal Customers,2,46000,23000
40783,Loyal Customers,1,45600,45600
39287,Loyal Customers,1,45600,45600
35943,Loyal Customers,1,45500,45500
39591,Loyal Customers,1,45500,45500
16411,Loyal Customers,1,44464,44464
12295,Loyal Customers,1,43320,43320
30535,Loyal Customers,1,43200,43200
16793,Loyal Customers,1,42835,42835
36091,Loyal Customers,1,42835,42835
41343,Loyal Customers,2,41900,20950
40179,Loyal Customers,1,41700,41700
42451,Loyal Customers,1,41700,41700
41493,Loyal Customers,4,41100,10275
35843,Loyal Customers,1,40700,40700
41093,Loyal Customers,1,40225,40225
19505,Loyal Customers,1,39900,39900
41523,Loyal Customers,1,39700,39700
41769,Loyal Customers,2,39600,19800
36615,Loyal Customers,1,39380,39380
23211,Loyal Customers,1,39200,39200
14305,Loyal Customers,1,39000,39000
